"Statistic Label","Year","Sex","NACE Rev 2 Sector","Age Group","UNIT","VALUE"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Accommodation and food service activities (I)","15 years and over","%","3.4"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Information and communication (J)","15 years and over","%","2.7"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","3.8"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","5.1"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Administrative and support service activities (N)","15 years and over","%","6.2"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Education (P)","15 years and over","%","0.4"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Human health and social work activities (Q)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","4.4"
"Annual Change (Median Annual Earnings)","2019","Both sexes","All NACE economic sectors","15 years and over","%","3.4"
"Annual Change (Median Annual Earnings)","2019","Male","Industry (B to E)","15 years and over","%","2.6"
"Annual Change (Median Annual Earnings)","2019","Male","Construction (F)","15 years and over","%","5.1"
"Annual Change (Median Annual Earnings)","2019","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","4"
"Annual Change (Median Annual Earnings)","2019","Male","Transportation and storage (H)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2019","Male","Accommodation and food service activities (I)","15 years and over","%","3.9"
"Annual Change (Median Annual Earnings)","2019","Male","Information and communication (J)","15 years and over","%","2.7"
"Annual Change (Median Annual Earnings)","2019","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","3.7"
"Annual Change (Median Annual Earnings)","2019","Male","Professional, scientific and technical activities (M)","15 years and over","%","4.9"
"Annual Change (Median Annual Earnings)","2019","Male","Administrative and support service activities (N)","15 years and over","%","6.1"
"Annual Change (Median Annual Earnings)","2019","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","2.2"
"Annual Change (Median Annual Earnings)","2019","Male","Education (P)","15 years and over","%","1.8"
"Annual Change (Median Annual Earnings)","2019","Male","Human health and social work activities (Q)","15 years and over","%","2"
"Annual Change (Median Annual Earnings)","2019","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","4.4"
"Annual Change (Median Annual Earnings)","2019","Male","All NACE economic sectors","15 years and over","%","3.2"
"Annual Change (Median Annual Earnings)","2019","Female","Industry (B to E)","15 years and over","%","2.6"
"Annual Change (Median Annual Earnings)","2019","Female","Construction (F)","15 years and over","%","4.8"
"Annual Change (Median Annual Earnings)","2019","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","4.3"
"Annual Change (Median Annual Earnings)","2019","Female","Transportation and storage (H)","15 years and over","%","5.6"
"Annual Change (Median Annual Earnings)","2019","Female","Accommodation and food service activities (I)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2019","Female","Information and communication (J)","15 years and over","%","2.9"
"Annual Change (Median Annual Earnings)","2019","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","3.3"
"Annual Change (Median Annual Earnings)","2019","Female","Professional, scientific and technical activities (M)","15 years and over","%","5"
"Annual Change (Median Annual Earnings)","2019","Female","Administrative and support service activities (N)","15 years and over","%","8.2"
"Annual Change (Median Annual Earnings)","2019","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2019","Female","Education (P)","15 years and over","%","0.6"
"Annual Change (Median Annual Earnings)","2019","Female","Human health and social work activities (Q)","15 years and over","%","2.6"
"Annual Change (Median Annual Earnings)","2019","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","3.7"
"Annual Change (Median Annual Earnings)","2019","Female","All NACE economic sectors","15 years and over","%","3.3"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Industry (B to E)","15 years and over","%","7"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Construction (F)","15 years and over","%","8.3"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","7.6"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Transportation and storage (H)","15 years and over","%","2.2"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Accommodation and food service activities (I)","15 years and over","%","18.1"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Information and communication (J)","15 years and over","%","6.3"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","5.3"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","3.9"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Administrative and support service activities (N)","15 years and over","%","3.9"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","2.1"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Education (P)","15 years and over","%","1.9"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Human health and social work activities (Q)","15 years and over","%","5.8"
"Annual Change (Median Annual Earnings)","2020","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","25"
"Annual Change (Median Annual Earnings)","2020","Both sexes","All NACE economic sectors","15 years and over","%","9.7"
"Annual Change (Median Annual Earnings)","2020","Male","Industry (B to E)","15 years and over","%","6.3"
"Annual Change (Median Annual Earnings)","2020","Male","Construction (F)","15 years and over","%","8.3"
"Annual Change (Median Annual Earnings)","2020","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","4.3"
"Annual Change (Median Annual Earnings)","2020","Male","Transportation and storage (H)","15 years and over","%","3.1"
"Annual Change (Median Annual Earnings)","2020","Male","Accommodation and food service activities (I)","15 years and over","%","12.2"
"Annual Change (Median Annual Earnings)","2020","Male","Information and communication (J)","15 years and over","%","4.6"
"Annual Change (Median Annual Earnings)","2020","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","3.5"
"Annual Change (Median Annual Earnings)","2020","Male","Professional, scientific and technical activities (M)","15 years and over","%","2.1"
"Annual Change (Median Annual Earnings)","2020","Male","Administrative and support service activities (N)","15 years and over","%","2.1"
"Annual Change (Median Annual Earnings)","2020","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","1.8"
"Annual Change (Median Annual Earnings)","2020","Male","Education (P)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2020","Male","Human health and social work activities (Q)","15 years and over","%","3.4"
"Annual Change (Median Annual Earnings)","2020","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","11.1"
"Annual Change (Median Annual Earnings)","2020","Male","All NACE economic sectors","15 years and over","%","8.9"
"Annual Change (Median Annual Earnings)","2020","Female","Industry (B to E)","15 years and over","%","10"
"Annual Change (Median Annual Earnings)","2020","Female","Construction (F)","15 years and over","%","16.7"
"Annual Change (Median Annual Earnings)","2020","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","10.4"
"Annual Change (Median Annual Earnings)","2020","Female","Transportation and storage (H)","15 years and over","%","-5"
"Annual Change (Median Annual Earnings)","2020","Female","Accommodation and food service activities (I)","15 years and over","%","21.3"
"Annual Change (Median Annual Earnings)","2020","Female","Information and communication (J)","15 years and over","%","9.8"
"Annual Change (Median Annual Earnings)","2020","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","5.8"
"Annual Change (Median Annual Earnings)","2020","Female","Professional, scientific and technical activities (M)","15 years and over","%","5.8"
"Annual Change (Median Annual Earnings)","2020","Female","Administrative and support service activities (N)","15 years and over","%","9"
"Annual Change (Median Annual Earnings)","2020","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","2.3"
"Annual Change (Median Annual Earnings)","2020","Female","Education (P)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2020","Female","Human health and social work activities (Q)","15 years and over","%","6.4"
"Annual Change (Median Annual Earnings)","2020","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","31.7"
"Annual Change (Median Annual Earnings)","2020","Female","All NACE economic sectors","15 years and over","%","13.3"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Industry (B to E)","15 years and over","%","2.7"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Construction (F)","15 years and over","%","2.9"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","3.2"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Transportation and storage (H)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Accommodation and food service activities (I)","15 years and over","%","-2.1"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Information and communication (J)","15 years and over","%","7.2"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","4.1"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","4.8"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Administrative and support service activities (N)","15 years and over","%","3.2"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","2.7"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Education (P)","15 years and over","%","0.3"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Human health and social work activities (Q)","15 years and over","%","0.8"
"Annual Change (Median Annual Earnings)","2021","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","0.3"
"Annual Change (Median Annual Earnings)","2021","Both sexes","All NACE economic sectors","15 years and over","%","1.6"
"Annual Change (Median Annual Earnings)","2021","Male","Industry (B to E)","15 years and over","%","2.6"
"Annual Change (Median Annual Earnings)","2021","Male","Construction (F)","15 years and over","%","2.9"
"Annual Change (Median Annual Earnings)","2021","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","3.5"
"Annual Change (Median Annual Earnings)","2021","Male","Transportation and storage (H)","15 years and over","%","0.2"
"Annual Change (Median Annual Earnings)","2021","Male","Accommodation and food service activities (I)","15 years and over","%","-0.1"
"Annual Change (Median Annual Earnings)","2021","Male","Information and communication (J)","15 years and over","%","7.3"
"Annual Change (Median Annual Earnings)","2021","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","5.1"
"Annual Change (Median Annual Earnings)","2021","Male","Professional, scientific and technical activities (M)","15 years and over","%","5.6"
"Annual Change (Median Annual Earnings)","2021","Male","Administrative and support service activities (N)","15 years and over","%","3.6"
"Annual Change (Median Annual Earnings)","2021","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2021","Male","Education (P)","15 years and over","%","0.4"
"Annual Change (Median Annual Earnings)","2021","Male","Human health and social work activities (Q)","15 years and over","%","0.3"
"Annual Change (Median Annual Earnings)","2021","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","2.6"
"Annual Change (Median Annual Earnings)","2021","Male","All NACE economic sectors","15 years and over","%","1.8"
"Annual Change (Median Annual Earnings)","2021","Female","Industry (B to E)","15 years and over","%","2.7"
"Annual Change (Median Annual Earnings)","2021","Female","Construction (F)","15 years and over","%","2.3"
"Annual Change (Median Annual Earnings)","2021","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","2.8"
"Annual Change (Median Annual Earnings)","2021","Female","Transportation and storage (H)","15 years and over","%","4.2"
"Annual Change (Median Annual Earnings)","2021","Female","Accommodation and food service activities (I)","15 years and over","%","-3"
"Annual Change (Median Annual Earnings)","2021","Female","Information and communication (J)","15 years and over","%","6.2"
"Annual Change (Median Annual Earnings)","2021","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","3.6"
"Annual Change (Median Annual Earnings)","2021","Female","Professional, scientific and technical activities (M)","15 years and over","%","3.6"
"Annual Change (Median Annual Earnings)","2021","Female","Administrative and support service activities (N)","15 years and over","%","1.5"
"Annual Change (Median Annual Earnings)","2021","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","3.4"
"Annual Change (Median Annual Earnings)","2021","Female","Education (P)","15 years and over","%","0.7"
"Annual Change (Median Annual Earnings)","2021","Female","Human health and social work activities (Q)","15 years and over","%","0.9"
"Annual Change (Median Annual Earnings)","2021","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-1.5"
"Annual Change (Median Annual Earnings)","2021","Female","All NACE economic sectors","15 years and over","%","1.2"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Industry (B to E)","15 years and over","%","1.7"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Construction (F)","15 years and over","%","-1.8"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","0.6"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Transportation and storage (H)","15 years and over","%","3.7"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Accommodation and food service activities (I)","15 years and over","%","1.3"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Information and communication (J)","15 years and over","%","8.2"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","5.1"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","2.8"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Administrative and support service activities (N)","15 years and over","%","5.4"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","6"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Education (P)","15 years and over","%","5.9"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Human health and social work activities (Q)","15 years and over","%","4.6"
"Annual Change (Median Annual Earnings)","2022","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-9.3"
"Annual Change (Median Annual Earnings)","2022","Both sexes","All NACE economic sectors","15 years and over","%","1.5"
"Annual Change (Median Annual Earnings)","2022","Male","Industry (B to E)","15 years and over","%","2"
"Annual Change (Median Annual Earnings)","2022","Male","Construction (F)","15 years and over","%","-2.1"
"Annual Change (Median Annual Earnings)","2022","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2022","Male","Transportation and storage (H)","15 years and over","%","2.7"
"Annual Change (Median Annual Earnings)","2022","Male","Accommodation and food service activities (I)","15 years and over","%","3.6"
"Annual Change (Median Annual Earnings)","2022","Male","Information and communication (J)","15 years and over","%","7.7"
"Annual Change (Median Annual Earnings)","2022","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","5.7"
"Annual Change (Median Annual Earnings)","2022","Male","Professional, scientific and technical activities (M)","15 years and over","%","2.9"
"Annual Change (Median Annual Earnings)","2022","Male","Administrative and support service activities (N)","15 years and over","%","6.7"
"Annual Change (Median Annual Earnings)","2022","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","5.3"
"Annual Change (Median Annual Earnings)","2022","Male","Education (P)","15 years and over","%","4.9"
"Annual Change (Median Annual Earnings)","2022","Male","Human health and social work activities (Q)","15 years and over","%","5.8"
"Annual Change (Median Annual Earnings)","2022","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-2.2"
"Annual Change (Median Annual Earnings)","2022","Male","All NACE economic sectors","15 years and over","%","1.4"
"Annual Change (Median Annual Earnings)","2022","Female","Industry (B to E)","15 years and over","%","1"
"Annual Change (Median Annual Earnings)","2022","Female","Construction (F)","15 years and over","%","-3.8"
"Annual Change (Median Annual Earnings)","2022","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","-0.5"
"Annual Change (Median Annual Earnings)","2022","Female","Transportation and storage (H)","15 years and over","%","10.8"
"Annual Change (Median Annual Earnings)","2022","Female","Accommodation and food service activities (I)","15 years and over","%","-0.5"
"Annual Change (Median Annual Earnings)","2022","Female","Information and communication (J)","15 years and over","%","10.5"
"Annual Change (Median Annual Earnings)","2022","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","3.5"
"Annual Change (Median Annual Earnings)","2022","Female","Professional, scientific and technical activities (M)","15 years and over","%","2.8"
"Annual Change (Median Annual Earnings)","2022","Female","Administrative and support service activities (N)","15 years and over","%","3.6"
"Annual Change (Median Annual Earnings)","2022","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","6.1"
"Annual Change (Median Annual Earnings)","2022","Female","Education (P)","15 years and over","%","4.9"
"Annual Change (Median Annual Earnings)","2022","Female","Human health and social work activities (Q)","15 years and over","%","4.6"
"Annual Change (Median Annual Earnings)","2022","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-11"
"Annual Change (Median Annual Earnings)","2022","Female","All NACE economic sectors","15 years and over","%","-0.3"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Industry (B to E)","15 years and over","%","2.6"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Construction (F)","15 years and over","%","4"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","3.6"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Transportation and storage (H)","15 years and over","%","0.4"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Accommodation and food service activities (I)","15 years and over","%","1.5"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Information and communication (J)","15 years and over","%","6.3"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","2.9"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","6.1"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Administrative and support service activities (N)","15 years and over","%","3.7"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","4.4"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Education (P)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Human health and social work activities (Q)","15 years and over","%","5.7"
"Annual Change (Median Annual Earnings)","2023","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","3.5"
"Annual Change (Median Annual Earnings)","2023","Both sexes","All NACE economic sectors","15 years and over","%","3.3"
"Annual Change (Median Annual Earnings)","2023","Male","Industry (B to E)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2023","Male","Construction (F)","15 years and over","%","4.3"
"Annual Change (Median Annual Earnings)","2023","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","4"
"Annual Change (Median Annual Earnings)","2023","Male","Transportation and storage (H)","15 years and over","%","0.9"
"Annual Change (Median Annual Earnings)","2023","Male","Accommodation and food service activities (I)","15 years and over","%","1.2"
"Annual Change (Median Annual Earnings)","2023","Male","Information and communication (J)","15 years and over","%","6.7"
"Annual Change (Median Annual Earnings)","2023","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","3"
"Annual Change (Median Annual Earnings)","2023","Male","Professional, scientific and technical activities (M)","15 years and over","%","6.4"
"Annual Change (Median Annual Earnings)","2023","Male","Administrative and support service activities (N)","15 years and over","%","4.5"
"Annual Change (Median Annual Earnings)","2023","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","5"
"Annual Change (Median Annual Earnings)","2023","Male","Education (P)","15 years and over","%","3.2"
"Annual Change (Median Annual Earnings)","2023","Male","Human health and social work activities (Q)","15 years and over","%","6.6"
"Annual Change (Median Annual Earnings)","2023","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","4.6"
"Annual Change (Median Annual Earnings)","2023","Male","All NACE economic sectors","15 years and over","%","3.6"
"Annual Change (Median Annual Earnings)","2023","Female","Industry (B to E)","15 years and over","%","3.2"
"Annual Change (Median Annual Earnings)","2023","Female","Construction (F)","15 years and over","%","4.2"
"Annual Change (Median Annual Earnings)","2023","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","4.3"
"Annual Change (Median Annual Earnings)","2023","Female","Transportation and storage (H)","15 years and over","%","-1"
"Annual Change (Median Annual Earnings)","2023","Female","Accommodation and food service activities (I)","15 years and over","%","1.2"
"Annual Change (Median Annual Earnings)","2023","Female","Information and communication (J)","15 years and over","%","5.8"
"Annual Change (Median Annual Earnings)","2023","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","3"
"Annual Change (Median Annual Earnings)","2023","Female","Professional, scientific and technical activities (M)","15 years and over","%","5.7"
"Annual Change (Median Annual Earnings)","2023","Female","Administrative and support service activities (N)","15 years and over","%","2.9"
"Annual Change (Median Annual Earnings)","2023","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","4.2"
"Annual Change (Median Annual Earnings)","2023","Female","Education (P)","15 years and over","%","2.6"
"Annual Change (Median Annual Earnings)","2023","Female","Human health and social work activities (Q)","15 years and over","%","5.3"
"Annual Change (Median Annual Earnings)","2023","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","3"
"Annual Change (Median Annual Earnings)","2023","Female","All NACE economic sectors","15 years and over","%","3.3"
